ハンド,ポジション,正解アクション,正解EV(BB)
33,SB,レイズ,0.0
32s,SB,フォールド,0.0
A2o,SB,レイズ,0.0
K2o,SB,レイズ,0.0
Q2o,SB,フォールド,0.0
J2o,SB,フォールド,0.0
T2o,SB,フォールド,0.0
92o,SB,フォールド,0.0
82o,SB,フォールド,0.0
72o,SB,フォールド,0.0
62o,SB,フォールド,0.0
52o,SB,フォールド,0.0
42o,SB,フォールド,0.0
32o,SB,フォールド,0.0
22,SB,レイズ,0.0
